Index;Титульник;Город;Компания;ЗпОт;ЗпДо;СрЗп;Валюта;Описание;Ссылка
428;PHP-разработчик;Москва, Парк культуры и еще 1 ;Международная медиагруппа Россия сегодня (МИА Россия сегодня); ; ; ; ;Мы не ограничиваем сотрудников в выборе языка программирования (PHP/Python/NodeJS/Go), но в некоторых ситуациях можем попросить аргументацию использования...PHP 7.4 / Lumen 8 в качестве основы текущего бекенда. Nginx. PostgreSQL. Redis. MongoDB. Sentry. Slack. Git (GitLab  CI/CD...;https://spb.hh.ru/vacancy/66936478?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
429;Senior QA Automation Engineer (mobile);Москва;Rutube; ; ; ; ;Автоматизировать тестовые сценарии. Взаимодействовать с командами разработки, дизайна, back-end, продукта. Участвовать в релизном процессе мобильного приложения. Анализировать результаты автотестов...Уверенные знания языков программирования (классно, если это Python  Appium). Навыки работы с IDE (android studio, xcode), умение собрать сборку, посмотреть...;https://spb.hh.ru/vacancy/52899072?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
430;Senior QA Automation Engineer;Минск;ООО ИТС Партнёр; ; ; ; ;design, develop, and execute automation tests. - verify developer stories, analyze requirements and and cover them by tests. - manage continuous integration...build an automation framework to validate server REST API calls for backend Services and wireless cameras, IoT devices. ;https://spb.hh.ru/vacancy/52828788?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
431;QA Engineer;Москва;ANABAR; ; ; ; ;Определить, где ошибка со стороны фронтенда, а где — со стороны бэкенда. Знать различные способы хранения данных в браузере (local storage...Знание особенности тестирования приложения с микросервисной архитектурой. Понимание какие бывают метрики в тестировании и зачем они нужны.;https://spb.hh.ru/vacancy/66182434?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
432;Mobile Developer/TeamLead;Санкт-Петербург;LoyaltyPlant;130000;130000;130000;руб;Участвовать в код-ревью. Писать Unit-тесты. Взаимодействовать с командами тестировщиков, backend-разработчиков и дизайнеров. В ближайших планах есть рефакторинг...Умение разбираться в чужом коде, ответственный подход к работе, способность работать в команде. Будет плюсом: Знание Python. Знакомство с Gitlab...;https://spb.hh.ru/vacancy/66957907?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
433;DevOps инженер;Санкт-Петербург;KAMAZ DIGITAL; ; ; ; ;Сборка, деплой, развертывание программных продуктов компании, автоматизация этих процессов. Разработка инструментов автоматизации. Настройка и использование средств мониторинга и логгирования. Умение работать с git и понимание принципа работы системы контроля версий. Опыт настройки процессов CI/CD. Навыки программирования на python.;https://spb.hh.ru/vacancy/66860679?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
434;С++ разработчик (VK Реклама);Москва, Аэропорт;VK; ; ; ; ;Разбираться в требованиях к проекту, переводить их в техническое описание. Проектировать внешние и внутренние API (в том числе в Swagger). Понимание, как масштабировать сервис, какие могут быть точки отказа и как их купировать. Владение Bash, Python на среднем уровне — крайне...;https://spb.hh.ru/vacancy/66915939?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
435;Web разработчик (Front-end, middle);Волгоград;Stroyportal.ru - интернет-площадка; ; ; ; ;...нового дизайна сайта (Figma в Django шаблоны (back-end часть реализована на Python)). CSS, VueJS, JQuery. Работа в команде, коммуникация...Понимание принципов современной разработки приложений на JS (OOP, паттерны, шаблонизация). Понимание как backend взаимодействует с frontend (Python/Django). ;https://spb.hh.ru/vacancy/55148920?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
436;Middle/Senior QA-Engineer (Payments);Москва;Xsolla; ; ; ; ;Участие в процессе проектирования. Разработка сценариев тестирования. Написание функциональных и интеграционных тестов. Создание и поддержка тестовой документации. Автоматизация процесса тестирования. Базовые навыки программирования на одном из языков: php, js, python, java, go. Опыт работы в среде Agile/Scrum. ;https://spb.hh.ru/vacancy/66147721?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
437;PHP-разработчик (Middle);Краснодар;ООО ЦЦЭТ;120000;190000;155000;руб;Поддержка и развитие существующих проектов, запуск новых с нуля.Понимание HTML5, CSS3, JavaScript, хотя работать придется, конечно, с бэкендом, но понимать-то эти штуки надо. ;https://spb.hh.ru/vacancy/66746895?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
438;QA инженер (автоматизированное);Москва;ООО Сбербанк-Телеком; ; ; ; ;Написание автотестов для API backend приложений . Написание регрессионных автотестов для приемки обновлений ПО сторонних производителей. Анализ и документирование результатов тестирования. Опыт составления тест-кейсов. Базовые знания в области bash, SQL, python. Системность мышления, развитые навыки анализа, решения проблем и доведения...;https://spb.hh.ru/vacancy/66860916?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
439;Frontend developer (React);Москва;КИБЕР-РОМ;180000;300000;240000;руб;Микросервисная архитектура. Yandex Cloud. Kubernetes. Docker. Python3.6. React. PostgreSQL. Gitlab  CI/CD, Jira, Confluence. Tensorflow, rabbitMQ, Kafka. Практический опыт работы с нашим стеком технологий. Опыт коммерческой разработки на React от 2 лет. Любознательность и ответственность.;https://spb.hh.ru/vacancy/66189638?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
440;Android Developer (Platform);Минск;ООО Вайзор Геймз; ; ; ; ;фреймворк написан на java. Вам может пригодиться знание Android NDK, C, Python и Ruby, но это не обязательно. Опыт тестирования мобильных приложений. Отсутствие фобий к другим языкам программирования - часть инструментов написана на Python, Ruby. Опыт работы с большими...;https://spb.hh.ru/vacancy/49798412?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
441;Senior Software Engineer (Ads Engine) (во Вьетнаме);Москва;Coc Coc Co Ltd;2500;5000;3750;usd;Plan, design and develop components in our Ads platform (https://qc.coccoc.com/en), analyze and improve our algorithms and models to...Excellent communication in writing and reading English. Strong proficiency with backend development, service-oriented architecture technology, SQL and NoSQL datastores. ;https://spb.hh.ru/vacancy/66611474?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
442;Team Lead Data Scientist в СберМаркет [команда поиска];Москва;СберМаркет; ; ; ; ;Рабочие задачи: Формулировка гипотез и дизайн экспериментов. Сбор датасетов:  Из бекэнд данных.  Из событийной аналитики.  Из ручной разметки. 3. Модели кликовой релевантности. 5. Present - Улучшение пользовательского опыта при взаимодействии с результатами поиска:  Поисковые теги.  Категории. Прикладной опыт работы в...;https://spb.hh.ru/vacancy/66906589?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
443;Frontend разработчик (Vue);Москва;TrueConf;80000;80000;80000;руб;Развитие внутренних библиотек UI компонентов. Участие в проектировании сложных SPA, PWA, Mobile Apps. Взаимодействие с backend разработчиками для создания новых...Будет плюсом: Здоровый интерес к смежным сферам: backend (GO, PHP, Python, NodeJS), мобильная разработка (Dart, Flutter). Понимание основных паттернов проектирования...;https://spb.hh.ru/vacancy/66855418?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
444;Middle C#/ .NET developer (Fraud Control Team, Remote);Санкт-Петербург;Access Softek (ИП Гурфинг Михаил Григорьевич);2800;3500;3150;usd;Writing high-quality code with sufficient test coverage. Creating automated unit and integration tests for verifying proper service behavior. At least 3 years of experience in commercial software development. Strong skills in C# and .NET/.NET Core platforms. ;https://spb.hh.ru/vacancy/66936652?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
445;DevOps-инженер в Систему быстрых платежей;Москва, Москва Товарная и еще 2 ;АО Национальная система платежных карт; ; ; ; ;Участвовать в развитии и настройке CI/CD. Упрощать и автоматизировать процессы разработки, тестирования и деплоя. Участвовать в развитии архитектуры и...У тебя есть опыт работы cо стеком продуктов Atlassian (Confluence, Jira, Stash, Bamboo). Обладаешь опытом разработки (Python, Java или другие...;https://spb.hh.ru/vacancy/54491698?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
446;Специалист по автоматизированному тестированию (Умный дом, web);Москва, Проспект Вернадского;ООО Ростелеком Информационные Технологии; ; ; ; ;Автоматизация процесса тестирования раскатки образов микросервисов. Автоматизация тестирования микросервисов (backEnd). Оптимизация текущий скриптов автоматизации. Консультации членов проектной команды в рамках...Знания Java. Опыт работы с БД Postgres, MSSQL. Опыт автоматизации тестирования и контроля качества программных продуктов. Экспертизу в процессах разработки...;https://spb.hh.ru/vacancy/55866537?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
447;Ведущий специалист по тестированию Интернет Банка;Москва;Selecty; ; ; ; ;Проводить ручное тестирование frontend'a, backend'а сервисов. Анализировать требования и писать чек-листы / тест-кейсы. Участвовать в процессе разбора...Понимание принципов работы клиент-серверных приложений и микросервисной архитектуры. Опыт тестирования web-приложений (frontend & backend). Знание REST, опыт тестирования API. ;https://spb.hh.ru/vacancy/55570463?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
448;C++ Developer (Montenegro/Luxemburg);Москва;Hunt For You; ; ; ; ;Международная компания-разработчик трехмерных сканеров и систем трехмерного распознавания лиц. Среди пользователей продуктов - компании Tesla, Toyota, Intel, Samsung, NASA и...Знание и опыт коммерческой разработки на C 11 и выше от 5 лет. Опыт разработки многопоточных приложений. Опыт отладки многопоточного...;https://spb.hh.ru/vacancy/52545732?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
449;Junior/middle разработчик;Тюмень;ООО Стабилис; ; ; ; ;Backend разработка на Python. Поддержка, развитие, доработка функционала существующих проектов. Взаимодействие с удаленными Frontend-разработчиками. Работа с API внешних сервисов.Готовность работать первое время в офисе. Есть практический опыт разработки (коммерческой или проектная работа в учебе). Пройден профильный обучающий курс...;https://spb.hh.ru/vacancy/66525079?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
450;Старший Инженер по сопровождению;Москва, Кутузовская и еще 1 ;Сбер. IT; ; ; ; ;Сопровождение промышленной банковской автоматизированной системы, мониторинг доступности и работоспособности. Проверка и контроль внедрения новых версий системы. Плотное взаимодействие с командами...Опыт работы с Linux. Знание SQL. Базовый уровень Python/Groovy. Опыт работы с Openshift/Kubernetes, Nginx, Kafka, DB Oracle, PostgreSQL. ;https://spb.hh.ru/vacancy/66875608?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
451;Разработчик корпоративных web-приложений;Алматы, Байконур;ТОО ICORE-Integration; ; ; ; ;Код без ограничений. Можно расширить как front-end, так и back-end приложения с помощью собственного кода. Отличная вертикальная и...Знания верстки (HTML 5, CSS 3). Знание JavaScript (jQuery, Ajax). Опыт разработки на любом языке программирования. Знание языка SQL. ;https://spb.hh.ru/vacancy/66925665?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
452;Frontend / fullstack разработчик;Москва;АО Синклит;250000;250000;250000;руб;Разработка веб-приложений/административных панелей сервисов компании.Отличное знание современной веб-разработки (js, vue, node, next). Уверенное знание python/Go. Опыт разработки бэкенда: базы данных, API. ;https://spb.hh.ru/vacancy/66678078?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
453;Разработчик мобильных приложений;Санкт-Петербург, Чернышевская;AbroadProfe; ; ; ; ;...мобильных приложений для Android и iOS по техническому описанию и дизайнам для российских и иностранных заказчиков. Интеграция приложения с backend.Опыт разработки серверных приложений (Java, Scala, Python). Опыт web-разработки. По желанию возможно участие в разработке backend на Java.;https://spb.hh.ru/vacancy/55391643?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
454;Web-разработчик;Нижний Новгород, Пролетарская;ООО ЮПМ Маркетинг Рус; ; ; ; ;Front-end Фреймворков React, Vui, Angular и т.п.Нам интересны кандидаты с опытом работы в: JavaScript 6. HTML/CSS/SCSS. React JS. PHP.;https://spb.hh.ru/vacancy/66826333?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
455;Программист-разработчик/Fullstack (javascript) разработчик;Новосибирск, Площадь Ленина;ООО Сервис-Интегратор Майнинг;120000;120000;120000;руб;Разработка внутренних сервисов компании. Интеграция с существующими системами. Решение задач как frontend, так и на backend.Знание языков программирования (PHP, SQL, JavaScript, Python). Навыки работы с БД (MySQL, PostgreSQL). Владение основами web-верстки, HTML, CSS. ;https://spb.hh.ru/vacancy/66822662?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
456;Программист JavaScript;Ростов-на-Дону;ООО Электронная медицина;50000;70000;60000;руб;"Разработка на JavaScript, React (с использованием redux, REST API). Поддержка, устранение проблем в ранее разработанном ПО совместно с DevOPS командой. ...и некоторый опыт во Backend разработке, ну или как минимум вы не боитесь букв ""Flask"" и ""python"" и готовы активно...";https://spb.hh.ru/vacancy/47730790?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
457;Ведущий автоматизатор тестирования / Senior QA Automation engineer (FinTech UK);Санкт-Петербург;ЗАО Синтез;250000;250000;250000;руб;Предложить стратегию и тактику развития автоматизации тестов. Взять полную ответственность за реализацию стратегии и свой фронт работ в ней будучи...Опыт написания автоматизированных тестов для back-end'а и web front-end'а 2 года. Глубокое понимание как встраивается процесс...;https://spb.hh.ru/vacancy/55877048?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
458;Ведущий автоматизатор тестирования / Senior QA Automation engineer (FinTech UK);Москва;ЗАО Синтез;250000;250000;250000;руб;Предложить стратегию и тактику развития автоматизации тестов. Взять полную ответственность за реализацию стратегии и свой фронт работ в ней будучи...Опыт написания автоматизированных тестов для back-end'а и web front-end'а 2 года. Глубокое понимание как встраивается процесс...;https://spb.hh.ru/vacancy/55877044?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
459;HR manager;Ташкент;Qulix Systems; ; ; ; ;Вакансии могут быть совершенно разные: QA, BA, PM, .NET, Java, JS, iOS, Android, Python, DevOps и т.д., уровень – от...Высшее образование. Наличие пройденных курсов в сфере HR. Опыт работы HR специалистом от 3-х лет. Опыт в ИТ-рекрутинге...;https://spb.hh.ru/vacancy/66923014?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
460;Middle DevOps Engineer;Москва;ООО Эр-1; ; ; ; ;Фронт на iOS: Swift, Viper  DI (Swinject), Alamofire. Мониторинг: Zabbix  Prometheus (смотрим в сторону VictoriaMetrics). Логи: ELK. Телефония на базе...Опыт разработки на одном из языков программирования: Go, Python, Java. Инструменты и принципы Infrastructure as Code. Понимать работу базовых сетевых...;https://spb.hh.ru/vacancy/55472736?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
461;Golang developer;Москва, Красносельская;ООО Константа; ; ; ; ;Уверенное знание golang, опыт разработки бекенда на каком-либо языке (python\java\c\c\php\whatever). Опыт коммерческой разработки на...Уверенное знание golang, опыт разработки бекенда на каком-либо языке (python\java\c\c\php\whatever). Опыт коммерческой разработки на...;https://spb.hh.ru/vacancy/53814217?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
462;Senior Solidity/Ethereum developer;Санкт-Петербург;Redsteep;275000;450000;362500;руб;Находить красивые и эффективные решения в коде. Подменяли OpenGL драйвер в Android сборке для виртуальной машины. Делали reverse engineering мобильных...Приносить измеримую пользу заказчикам. Видеть проблемы глазами бизнеса, предлагать наши решения. Умение хорошо программировать на любом популярном языке. ;https://spb.hh.ru/vacancy/53022644?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
463;Software Developer In Test (Удаленно);Нур-Султан;Alex Staff Agency;4000;4000;4000;eur;Разработка и улучшения существующих Integration/e2e тестов. Проведение анализа покрытия тестами. Построение CI/CD pipelines. Тестирования с помощью...Английский язык B2. Опыт написания тестов на JavaScript и Python. Практический опыт работы с брокерами сообщений. Опыт работы с...;https://spb.hh.ru/vacancy/66837858?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
464;Marketing Analyst (Python+SQL)/Маркетинговый аналитик, Кипр;Санкт-Петербург;Helio Games; ; ; ; ;Стандартные обязанности опытного маркетингового аналитика (исследования, дашборды, представление результатов, владение инструментами и т. д.). Анализ стратегии закупок на этапах запуска...Хорошие навыки презентации. Бизнес-ориентированное мышление. Знание SQL, математической статистики и Python (опыт не менее 1 года). Подтвержденная способность правильно...;https://spb.hh.ru/vacancy/66857480?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
465;Инженер по тестированию, ERP и учетные системы, СЭД;Москва, Выставочная и еще 2 ;Ozon Информационные технологии; ; ; ; ;Прямая коммуникация с бизнес-заказчиками для выявления и обсуждения требований. Взаимодействие с разработчиками, аналитиками. Написание тест-планов, тест-кейсов. Высшее техническое образование. Опыт тестирования web-ресурсов (frontend & backend) от 2-х лет. Опыт разработки автотестов и тестирования приложений уровня...;https://spb.hh.ru/vacancy/66835195?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
466;QA-инженер;Москва;LIFE PAY; ; ; ; ;Ручное функциональное и интеграционное тестирование мобильных приложений, web-приложений (frontend & backend). Автоматизированное тестирование мобильных приложений, web-приложений (frontend & backend). Опыт тестирования мобильных приложений, web-приложений (frontend & backend). Опыт работы с системами учета багов. Опыт формирования тестовой документации (тест-планы...;https://spb.hh.ru/vacancy/66826322?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
467;Тимлид / Руководитель группы разработки;Санкт-Петербург;ООО Энерджи Консалтинг; ; ; ; ;Управление командой разработчиков (frontend, backend) 10 человек. Организация процесса разработки. Организация процесса тестирования (совместно с ведущим тестировщиком). Организация процесса деплоя. Опыт в IT более 5-и лет на позициях разработчика или архитектора. Опыт работы в роли разработчика более 3-х...;https://spb.hh.ru/vacancy/66233855?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
468;Full-Stack Разработчик (middle/senior level);Москва;Бэнкс Софт Системс; ; ; ; ;Сейчас мы активно выводим на рынок новую линейку продуктов по обработке естественной речи. В наших решениях – полный стек технологий для...Proficient understanding of python 3.6, standard libraries. Proficient understanding of client-side and server side frameworks (fastapi, bottle, Django). ;https://spb.hh.ru/vacancy/54948799?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
469;Full-Stack Разработчик (middle/senior level);Казань;Бэнкс Софт Системс; ; ; ; ;Сейчас мы активно выводим на рынок новую линейку продуктов по обработке естественной речи. В наших решениях – полный стек технологий для...Proficient understanding of python 3.6, standard libraries. Proficient understanding of client-side and server side frameworks (fastapi, bottle, Django). ;https://spb.hh.ru/vacancy/54948801?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
470;DevOps Engineer;Москва;СберЗдоровье; ; ; ; ;Администрированием инфраструктуры. Масштабированием проекта. Резервным копированием. CI\CD. Мониторингом и логированием платформы. Взаимодействием с внешними и внутренними разработчиками.Администрировать системы на Linux. Владеть скриптовым языком (Bash, Python, etc). Знать SQL. Владеть контейнерными технологиями (Docker). Работать с системами развертывания...;https://spb.hh.ru/vacancy/54246808?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
471;Frontend-разработчик;Красноярск;Ценалом;80000;80000;80000;руб;Работа над client-side частью проектов (верстка, VueJs) в тесном сотрудничестве с бэкенд-разработчиком. 3. Участие в проектировании веб-интерфейсов. 1. Опыт от 3 лет, умение планировать и строго выполнять сроки работы. 2. Умение самостоятельно принимать технологические решения согласно поставленной...;https://spb.hh.ru/vacancy/54026500?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
472;Kotlin developer;Новосибирск, Заельцовская;ООО «Предприятие «ЭЛТЕКС»; ; ; ; ;Но оборудование нужно не только произвести и продать, его нужно настраивать, следить за его работой, сообщать о неисправностях, обновлять и...Мы много пишем в базы данных, поэтому тебе нужно уметь строить и оптимизировать SQL запросы. Обязательно нужно уметь по меньшей...;https://spb.hh.ru/vacancy/49523062?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
473;DevOps инженер (ISearch);Москва;Сбер. IT;200000;300000;250000;руб;Желаете участвовать в разработке бекенда (Python/C) или ETL (Hadoop/Spark). Проектировали, разрабатывали и эксплуатировали высоконагруженные распределенные системы. Писали код на Python, достаточно базового уровня. Понимаете и следуете принципу Infrastructure as a Code. Строили и поддерживали отказоустойчивые системы. ;https://spb.hh.ru/vacancy/66185596?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
474;PHP Developer;Москва;ITSS;4000;7000;5500;usd;Разработка нового функционала. Поддержка существующего функционала. Разработка автоматизированных тестов для продукта. Исправление ошибок.Высшее образование (технический диплом, или в процессе обучения/заочно). Не менее 4-х опыта работы в сфере веб-разработки и...;https://spb.hh.ru/vacancy/66728777?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
475;Программист;Тюмень;+ Альянс;100000;150000;125000;руб;Разработка back-end приложений. Код ревью.Знание основ объектно-ориентированного программирования. Знание современных облачных технологий. Знание С#, Python, java-script, css, T-SQL. Приветствуется знание прикладного...;https://spb.hh.ru/vacancy/66706122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
476;Junior разработчик C++;Москва, Динамо и еще 2 ;АРМО, ГК;60000;80000;70000;руб;Архитектура системы: Backend - C, CORBA. Middle - Python. Работа в backend/middleware частях проекта по системе видеонаблюдения и других проектах компании.Опыт разработки в Qt на С под Windows/Linux. Уверенные знания С, STL. Знания ООП. Приветствуется: Умение программировать на Python. ;https://spb.hh.ru/vacancy/54495865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
477;BI analyst;Москва, ВДНХ;ООО Вебинар Технологии;175000;250000;212500;руб;Вникать в бизнес-процессы, общаться с руководителями подразделений, выявлять возможности применения AI для улучшения финансовых показателей. Исследовать и анализировать данные...Знание Python (pandas), SQL, PowerBI. Опыт управления командой будет плюсом, т.к. планируется расширение команды. Опыт построение backend архитектуры для...;https://spb.hh.ru/vacancy/66831242?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
478;Системный Архитектор (Wink);Москва, Проспект Вернадского;ООО Ростелеком Информационные Технологии; ; ; ; ;Разрабатывать и поддерживать в актуальном состоянии базу знаний (описание функциональности системы, взаимодействия клиентских приложений с бекендом, взаимодействия с другими системами...Знание PL/SQL и опыт проектирования DB. Знание одного из скриптовых языков (bash/python/ruby) на хорошем уровне. ;https://spb.hh.ru/vacancy/66908275?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
479;Разработчик full-stack;Сочи;CPA Today; ; ; ; ;Развертывание существующей базы приложения. Доработка и запуск приложения. Правки, фиксы и апдейты приложения. Работа с big-data.Python - основной язык программирования, знание обязательно. Flask - фреймворк основной, рассматриваем также со знанием [Django]. Mysql - СУБД рассматриваем также со знанием...;https://spb.hh.ru/vacancy/66734764?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
480;Разработчик С++ (Middle);Москва, Динамо и еще 2 ;АРМО, ГК; ; ; ; ;Участие в разработке C части бэкэнда системы видеонаблюдения Compass. Анализ существующего кода (поиск и выявление проблем). Рефакторинг своего и чужого...Знакомство с контейнерами хранения видео и аудио данных (MP4/MKV). Опыт работы с InnoSetup. Знание C#, Python.;https://spb.hh.ru/vacancy/44940626?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
481;QA-инженер по автоматизации в команду логистики;Москва;АВИТО ТЕХ: разработка; ; ; ; ;разрабатывать и поддерживать автоматизированные тесты для бекенда, мобильных приложении и web. — проводить исследования и дорабатывать тестовую модель и тест-кеи...имеете опыт поддержки и разработки инфраструктуры автоматизированного тестирования. — имеете опыт организации процесса тестирования. — умеете работать в Unix/Linux, Git, cURL...;https://spb.hh.ru/vacancy/66876871?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
482;Программист;Воронеж;Сбер для экспертов; ; ; ; ;Работа с большими объемами неструктурированной информации. Разработка методологии и алгоритмов проверок. Внедрение новых методов/подходов аудита. Автоматизация процессов аудита.Способность работать с большим объёмом данных, искать аномалии и закономерности. Преимуществом будет: знание C#, опыт Back-end разработки на Python...;https://spb.hh.ru/vacancy/66768366?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
483;Разработчик баз данных (PostgreSQL);Москва;Гарант;160000;160000;160000;руб;Программирование бекэнда внутренней CRM-системы. Разработка, проектирование и администрирование базы данных. Оптимизация и рефакторинг существующего программного кода. Написание автоматизированных тестов. Необходимые знания и навыки: Опыт разработки от 3-х лет. Уверенное владение Postgre SQL. Разработка Restful серверных интерфейсов. ;https://spb.hh.ru/vacancy/54167209?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
484;QA Engineer;Москва, Октябрьское поле и еще 1 ;ООО Мегаполис; ; ; ; ;Участвовать в обсуждении фич с аналитиками, дизайнерами, frontend/backend. Тестировать API (любим Postman). Написание тест-кейсов, чек-листов и поддержание...Опыт работы от 2-х лет. Опыт в ручном и интеграционном тестировании. Понимаешь жизненный цикл разработки ПО и web-технологий. ;https://spb.hh.ru/vacancy/52063953?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
485;Tech Lead (Руководитель отдела разработки-архитектор);Москва, Савёловская и еще 1 ;ГБУ МО Мособлгеотрест;250000;270000;260000;руб;Руководство существующей командой разработки (front-end и back-end), 8 человек. Формирование (найм) команды (плюс 4-5 человек к существующей...Отсутствие ограничений для оформления 3 формы секретности. Backend: большая часть логики реализована на процедурах PostgreSQL, Python, FastAPI. Front-end: Mojolicious...;https://spb.hh.ru/vacancy/53585196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
486;"Стажер QA (Группа разработки ""Инструменты AB-тестирования"")";Москва;Ozon Информационные технологии; ; ; ; ;Проводить функциональное тестирование (веб-приложения, API, микросервисы, backend). Разрабатывать тестовые сценарии. Принимать участие в разработке требований, ведь ошибки, найденные на...Плюсом будет любой опыт работы с одним из языков программирования Go,C, Java, C#, Python, PHP, Ruby и т. п. ;https://spb.hh.ru/vacancy/66743013?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
487;Тестировщик ПО/QA Инженер;Ростов-на-Дону;Группа компаний ФЛЭШ; ; ; ; ;Тестирование (функциональное, модульное, регрессионное, нагрузочное). Автоматизации автотестов для Вackend, Frontend (в т.ч. моб приложений). Анализ требований и результатов тестирования. Проводили тестирование backend (API(REST), базы данных), FrontEnd или мобильных приложений от 1 года. Работали с очередями (MQ, kafka). ;https://spb.hh.ru/vacancy/66768377?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
488;Middle Java Developer;Минск;ООО Дуал Лаб Бел; ; ; ; ;...connects data with the visual representation as well as the backend of a web application. You will be involved into...Experience with Kotlin programming language. Experience with scripting tools (Groovy / Python / Shell etc). Ability to think twice and understand what...;https://spb.hh.ru/vacancy/66812164?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
489;QA Automation Engineer;Москва;Skillbox; ; ; ; ;Разработка новых Gherkin шаги для сценариев тестирования UI и Backend. Разработка HTTP-клиентов для интеграций с другими сервисами. Уверенное владение Python, опыт работы с тестовыми фреймворками (pytest/behave). Практические навыки написания и отладки автотестов UI на динамичных страницах...;https://spb.hh.ru/vacancy/55565627?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
490;Разработчик BI, DWH;Владимир;ФГБУ Федеральный центр охраны здоровья животных; ; ; ; ;Разработка и сопровождение системы управленческой и операционной отчетности, позволяющей в реальном времени анализировать большие объемы данных. Разработка и сопровождение системы...Опыт предобработки данных для загрузки в DWH на различных языках - Python, Java и т.д. Профильное высшее образование в области...;https://spb.hh.ru/vacancy/54823804?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
