Index;Титульник;Город;Компания;ЗпОт;ЗпДо;СрЗп;Валюта;Описание;Ссылка
187;Backend developer (Python);Томск;red_mad_robot; ; ; ; ;Разработку нового функционала. Рефакторинг текущей кодовой базы. Участие в проектировании систем с чистого листа. Проектирование архитектуры веб-сервисов и REST...Опыт коммерческой разработки от 1 года. Уверенное знание Python 3.x. Умение работать с асинхронным кодом в Python. ;https://spb.hh.ru/vacancy/54935116?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
188;Java Developer/ Backend разработчик (продукт +интеграции);Москва;CleverDATA;250000;300000;275000;руб;Разработка отказоустойчивых коннекторов нашей платформы с ведущими мировыми рекламными платформами. Разработка отказоустойчивых коннекторов нашей платформы с облачными сервисами хранения и...Опыт коммерческой разработки на Java/Scala. Уверенное знание Java Core. Опыт построения pipeline обработки данных на Apache Spark. ;https://spb.hh.ru/vacancy/48722697?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
189;Java Developer/ Backend разработчик (CDP платформа);Санкт-Петербург;CleverDATA;250000;300000;275000;руб;Разработка отказоустойчивых коннекторов нашей платформы с ведущими мировыми рекламными платформами. Разработка отказоустойчивых коннекторов нашей платформы с облачными сервисами хранения и...Опыт коммерческой разработки на Java/Scala. Уверенное знание Java Core. Опыт построения pipeline обработки данных на Apache Spark. ;https://spb.hh.ru/vacancy/53079275?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
190;Backend Разработчик (Python Django);Алматы;ИП BILIM WAY (Нурлы); ; ; ; ;Разработка на базе Django Framework.Хорошее знание Python и Django Framework. Знание SQL и основ проектирования баз данных. Понимание и умение применять паттерны. ;https://spb.hh.ru/vacancy/66704182?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
191;Junior/Middle Python Developer;Москва;Информационное агентство России ТАСС; ; ; ; ;Разработка бекенда корпоративного приложения (фронт - flutter/dart). Корпоративный справочник, портал, работа с ЭЦП для документов. В команду входит 1 бэк...Python 3.8. Асинхронные фреймворки: asyncio, aiohttp и другие. Имеет опыт работы с перечисленными выше технологиями и системами контроля версий.;https://spb.hh.ru/vacancy/54374433?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
192;Разработчик Python (удалённо);Санкт-Петербург;ООО Каналсервис;70000;70000;70000;руб;Писать стабильный, поддерживаемый код, в соответствии с ТЗ. Вместе с командой проектировать архитектуру приложений и выбирать технологии. Разработка функционала для...Главное требование – успешное тестовое задание и прохождение собеседований  хороший русский язык. Уверенное знание Python. Опыт работы с фреймворком Django. ;https://spb.hh.ru/vacancy/66792270?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
193;Разработчик Python backend;Ростов-на-Дону;Офисный Мир КМ; ; ; ; ;Описание проекта: Разработка бэкенда высоконагруженной B2B системы. Задачи: Разработка микросервисов и API на Python. Разрабатывал API (REST). Знание базовых алгоритмов, структур данных и ООП. Знание Python 3.X. Здорово, если: Знаком с Django Framework. Есть опыт работы...;https://spb.hh.ru/vacancy/45387021?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
194;Backend developer (Python);Москва;X5 GROUP, Центральный офис; ; ; ; ;Работать над архитектурой платформы. Разрабатывать и поддерживать сервисы API, бизнес-логики, интеграций и обработки данных.Опыт разработки на Python 3 (у нас 3.9) от 4х лет, понимание asyncio. Опыт разработки сложных проектов на...;https://spb.hh.ru/vacancy/54653040?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
195;Программист PHP / Backend-разработчик;Санкт-Петербург, Василеостровская;АО Север Телеком;80000;80000;80000;руб;Поддержка информационных систем компании (биллинговая система, учетные системы). Разработка новых проектов внутри компании и для внешнего пользования наших абонентов. Знание JS (react - будет преимуществом). Знание Linux. Знание разных языков программирования и технологий: YII, Python, React, Symphony и др.;https://spb.hh.ru/vacancy/54213677?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
196;Python Developer;Ташкент;LeverX International; ; ; ; ;Design and develop large-scale web applications using Python. Focus on back-end software development and interface with third party...Strong Python development skills. Knowledge of Django framework. Database experience including MySQL and/or PostgreSQL (queries, design). Strong understanding of...;https://spb.hh.ru/vacancy/55357011?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
197;Backend-разработчик/Node.js Backend Developer;Санкт-Петербург, Лесная;РосДеньги; ; ; ; ;Реализацией новых микросервисов в высоконагруженных финтех проектах, написание более эффективной замены уже работающим сервисам и частям монолита.Опыт работы с RabbitMQ/Kafka. Опыт работы Node.JS. Будет преимуществом опыт разработки на go/python и опыт в ML.;https://spb.hh.ru/vacancy/52550935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
198;Программист SQL (backend);Чебоксары;Limex; ; ; ; ;Опыт работы с базами данных SQL (PostgreSQL, MySQL,Influx). Знание SQL и Python, желательно — Java/Scala. Опыт работы с облачными...Опыт работы с базами данных SQL (PostgreSQL, MySQL,Influx). Знание SQL и Python, желательно — Java/Scala. Опыт работы с облачными...;https://spb.hh.ru/vacancy/46268783?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
199;Backend-разработчик;Воронеж;ReestrDoma.ru;70000;70000;70000;руб;Разработка, отладка и тестирование WEB скриптов для серверной и/или клиентской части согласно ТЗ. Поддержка и доработка текущих проектов. Понимание принципов работы высоконагруженных систем. *nix на уверенном уровне. Опыт работы с системами контроля версий Git. 2) Отсрочка от армии...;https://spb.hh.ru/vacancy/66111293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
200;Junior Python Backend Developer;Краснодар;ООО Qummy;70000;70000;70000;руб;Писать чистый, тестируемый код. Разрабатывать новые сервисы и активно участвовать в проработке решений. Развивать существующие решения. Взаимодействие с frontend разработчиками. Опыт работы с REST API, WebSockets. Понимание принципов организации клиент-серверного взаимодействия. Знание и опыт использования Git. Знания Celery, RabbitMQ...;https://spb.hh.ru/vacancy/66671119?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
